id.orig_p,id.resp_h,missed_bytes,resp_bytes,resp_pkts,id.resp_p,conn_state,orig_pkts,proto,id.orig_h,duration,orig_bytes,proto_enc,ai_label,ai_anomalie,ai_score
49882,204.79.197.239,0,6963.0,17,443,RSTO,14,tcp,10.1.17.215,0.308150053024292,3145.0,1,NORMAL,False,0.01
49883,142.250.113.113,0,10043.0,16,443,RSTO,17,tcp,10.1.17.215,0.2660598754882812,2554.0,1,NORMAL,False,0.025
49891,204.79.197.239,0,0.0,1,443,RSTO,2,tcp,10.1.17.215,0.0664050579071044,0.0,1,ANOMALIE,True,0.9425
49886,10.1.17.2,0,644.0,4,135,RSTO,7,tcp,10.1.17.215,0.3891570568084717,496.0,1,NORMAL,False,0.0
49887,10.1.17.2,0,1869.0,10,49668,RSTO,13,tcp,10.1.17.215,0.3836178779602051,3797.0,1,NORMAL,False,0.0
49890,40.126.29.9,0,5159.0,9,443,RSTO,15,tcp,10.1.17.215,0.315303087234497,1040.0,1,NORMAL,False,0.03
56540,10.1.17.2,0,94.0,1,53,SF,2,udp,10.1.17.215,0.0382471084594726,60.0,2,NORMAL,False,0.005
62074,10.1.17.2,0,48.0,1,53,SF,2,udp,10.1.17.215,0.4031870365142822,64.0,2,NORMAL,False,0.0
53372,10.1.17.2,0,50.0,1,53,SF,2,udp,10.1.17.215,0.0460779666900634,68.0,2,NORMAL,False,0.0
49901,10.1.17.2,0,3692.0,8,389,RSTR,9,tcp,10.1.17.215,0.0059700012207031,2599.0,1,NORMAL,False,0.055
49900,10.1.17.2,0,3659.0,9,389,RSTR,11,tcp,10.1.17.215,0.016542911529541,3129.0,1,NORMAL,False,0.04
49893,13.107.246.57,0,8999.0,17,443,RSTO,17,tcp,10.1.17.215,0.427645206451416,2856.0,1,NORMAL,False,0.005
49894,13.107.42.16,0,7727.0,18,443,RSTO,15,tcp,10.1.17.215,0.4283490180969238,2995.0,1,NORMAL,False,0.0
49895,13.107.21.239,0,7951.0,19,443,RSTO,15,tcp,10.1.17.215,0.3954579830169678,3144.0,1,NORMAL,False,0.0
49896,142.250.113.100,0,9939.0,18,443,RSTO,15,tcp,10.1.17.215,0.382134199142456,2553.0,1,NORMAL,False,0.025
49902,13.107.246.57,0,7196.0,10,443,RSTO,9,tcp,10.1.17.215,0.15236496925354,2490.0,1,NORMAL,False,0.03
49904,142.250.115.132,0,11484.0,13,443,RSTO,14,tcp,10.1.17.215,0.1635718345642089,2407.0,1,NORMAL,False,0.01
49907,23.205.110.155,0,0.0,1,443,RSTO,2,tcp,10.1.17.215,0.0496189594268798,0.0,1,ANOMALIE,True,0.9425
49906,23.205.110.145,0,0.0,1,443,RSTO,2,tcp,10.1.17.215,0.0580348968505859,0.0,1,ANOMALIE,True,0.9425
49905,13.107.21.239,0,0.0,1,443,RSTO,2,tcp,10.1.17.215,0.0594449043273925,0.0,1,ANOMALIE,True,0.9425
49899,10.1.17.2,0,1869.0,10,49668,RSTO,13,tcp,10.1.17.215,0.5286211967468262,3797.0,1,NORMAL,False,0.035
